Latitude (deg),Longitude (deg),Altitude (m),Time (s)
0,0,0,0
3.27670100380573E-06,0,-8.38190317153931E-09,0.1
1.184724014936E-05,0,-3.72529029846191E-09,0.2
2.08909349198638E-05,0,-9.31322574615479E-09,0.3
2.99346296903676E-05,0,-6.51925802230835E-09,0.4
3.89783244608714E-05,0,-6.51925802230835E-09,0.5
4.80220192313752E-05,0,-8.38190317153931E-09,0.6
5.70657140018789E-05,0,-4.65661287307739E-09,0.7
6.61094087723826E-05,0,-8.38190317153931E-09,0.8
7.51531035428863E-05,0,0,0.9
8.419679831339E-05,0,-1.02445483207703E-08,1
9.32404930838935E-05,0,-9.31322574615479E-09,1.1
0.000102284187854398,0,-9.31322574615479E-10,1.2
0.000111327882624901,0,-1.02445483207703E-08,1.3
0.000120371577395404,0,-1.21071934700012E-08,1.4
0.000129415272165907,0,-1.02445483207703E-08,1.5
0.000138458966936411,0,-3.72529029846191E-09,1.6
0.000147502661706914,0,-5.58793544769287E-09,1.7
0.000156546356477417,0,-1.11758708953857E-08,1.8
0.000165590051247921,0,-1.58324837684631E-08,1.9
0.000174633746018423,0,-1.58324837684631E-08,2
0.000183677440788926,0,-1.58324837684631E-08,2.1
0.00019272113555943,0,-1.67638063430786E-08,2.2
0.000201764830329932,0,-1.49011611938477E-08,2.3
0.000210808525100435,0,-1.58324837684631E-08,2.4
0.000219852219870937,0,-1.58324837684631E-08,2.5
0.00022889591464144,0,-1.67638063430786E-08,2.6
0.000237939609411942,0,-1.67638063430786E-08,2.7
0.000246983304182444,0,-1.86264514923096E-08,2.8
0.000256026998952946,0,-1.9557774066925E-08,2.9
0.000265070693723448,0,-2.1420419216156E-08,3
0.00027411438849395,0,-2.23517417907715E-08,3.1
0.000283158083264452,0,-2.23517417907715E-08,3.2
0.000292201778034953,0,-2.1420419216156E-08,3.3
0.000301245472805454,0,-1.9557774066925E-08,3.4
0.000310289167575956,0,-1.39698386192322E-08,3.5
0.000319332862346457,0,-3.72529029846191E-09,3.6
0.000328376557116958,0,-7.45058059692383E-09,3.7
0.000337420251887459,0,-1.86264514923096E-08,3.8
0.000346463946657959,0,-2.51457095146179E-08,3.9
0.00035550764142846,0,-2.79396772384644E-08,4
0.00036455133619896,0,-2.42143869400024E-08,4.1
0.00037359503096946,0,-1.49011611938477E-08,4.2
0.00038263872573996,0,-4.65661287307739E-09,4.3
0.00039168242051046,0,-2.1420419216156E-08,4.4
0.000400726115280959,0,-2.98023223876953E-08,4.5
